brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Færder Mikrobryggeri,Røkelse,Smoked Beer,7,21,3.32569,2024-12-21T18:09:43+00:00,Untappd at Home,3,,https://untappd.com/b/faerder-mikrobryggeri-rokelse/1783083,https://untappd.com/user/Semelenge/checkin/1443028090
Ringnes Bryggeri,Julebokk,Bock - Doppelbock,9,32,3.68541,2024-12-21T18:08:24+00:00,Untappd at Home,,,https://untappd.com/b/ringnes-bryggeri-julebokk/14071,https://untappd.com/user/Semelenge/checkin/1443027235
Sabeco,Bia Saigon Export Premium,Lager - Pale,4.8,20,2.89197,2024-09-11T19:40:40+00:00,Untappd at Home,2.5,,https://untappd.com/b/sabeco-saigon-export-premium/8955,https://untappd.com/user/Semelenge/checkin/1416528689
Founders Brewing Co.,KBS,Stout - Imperial / Double Coffee,12,70,4.3688,2024-09-07T19:02:27+00:00,Untappd at Home,3.25,,https://untappd.com/b/founders-brewing-co-kbs/9681,https://untappd.com/user/Semelenge/checkin/1415613442
Traquair House Brewery,Jacobite Ale,Scotch Ale / Wee Heavy,8,,3.76493,2024-08-29T18:00:17+00:00,Untappd at Home,3.75,,https://untappd.com/b/traquair-house-brewery-jacobite-ale/3354,https://untappd.com/user/Semelenge/checkin/1412817692
7 Fjell Bryggeri,Rektors Kontor,IPA - Session,4.7,,3.46511,2024-07-17T20:03:49+00:00,Untappd at Home,3.25,,https://untappd.com/b/7-fjell-bryggeri-rektors-kontor/4759023,https://untappd.com/user/Semelenge/checkin/1399798369
Buxton Brewery,THE BEER,Stout - Imperial / Double Pastry,11,,4.11276,2024-04-27T17:25:45+00:00,Untappd at Home,4.5,,https://untappd.com/b/buxton-brewery-the-beer/5302762,https://untappd.com/user/Semelenge/checkin/1375728429
Brouwerij De Brabandere,Petrus Aged Pale,Sour - Other,7.3,24,3.57689,2024-01-18T19:57:12+00:00,Café Amsterdam,4,,https://untappd.com/b/brouwerij-de-brabandere-petrus-aged-pale/2018,https://untappd.com/user/Semelenge/checkin/1349438303
The Brew Society,Martha Brown 12%,Belgian Quadrupel,12,30,3.66321,2024-01-18T19:05:11+00:00,Café Amsterdam,4,,https://untappd.com/b/the-brew-society-martha-brown-12/3430229,https://untappd.com/user/Semelenge/checkin/1349425524
Abbaye de Leffe,Leffe Brune / Bruin,Brown Ale - Belgian,6.5,20,3.53278,2024-01-18T19:03:24+00:00,Café Amsterdam,3.75,,https://untappd.com/b/abbaye-de-leffe-leffe-brune-bruin/5941,https://untappd.com/user/Semelenge/checkin/1349425126
